Date,EUR/HUF,BUBOR 3-MO,EURIBOR 3-MO,50%RMAX+50%ZMAX,ESTER
2020-07-31,-0.97,0,0,0.005,0.002
2020-08-03,0.25,0,-0.01,0,-0.002
2020-08-04,-0.26,0,0,0,0.001
2020-08-05,1.11,0,0,0,-0.001
2020-08-06,0.54,0,0,0,-0.001
2020-08-07,-0.17,0,-0.01,-0.005,0
2020-08-10,-0.85,0,0,0.01,-0.001
2020-08-11,-0.47,0,0,-0.005,0.002
2020-08-12,0.8,0,-0.01,0,0
2020-08-13,-0.72,0,0.01,-0.005,0
2020-08-14,1.28,0,0,0.005,0.003
2020-08-17,1.92,0,0,0.005,-0.004
2020-08-18,1.75,0.01,0,0,-0.001
2020-08-19,-0.28,0,-0.01,-0.005,0.001
2020-08-24,2.16,0,0,0.01,0.001
2020-08-25,1.91,0,0.01,0,-0.001
2020-08-26,0.24,0,0,-0.01,-0.001
2020-08-27,2.35,0.01,0,0.005,0.002
2020-08-28,-0.45,0,0,0,0
2020-08-31,-1.79,0,0,0.005,-0.005
2020-09-01,1,0,0,0,0.003
2020-09-02,2.03,0,0,0,-0.001
2020-09-03,0.6,0,0,-0.005,0.004
2020-09-04,1.74,0,0,0.005,-0.001
2020-09-07,0.61,0,-0.01,0,0.001
2020-09-08,0.14,0,0,0,-0.002
2020-09-09,-2.2,0,0,-0.01,-0.001
2020-09-10,-0.42,0.01,0,0.01,0
2020-09-11,-0.12,0.01,0.01,0,0.001
2020-09-14,0.39,-0.01,0,-0.01,-0.002
2020-09-15,-0.17,0,-0.01,-0.005,0.004
2020-09-16,1.29,0,0,0,-0.005
2020-09-17,1.21,0,-0.01,0.005,0.003
2020-09-18,0.79,0,0,0,0.001
2020-09-21,1.96,0,-0.01,-0.04,0
2020-09-22,-0.46,0,0,0.005,0
2020-09-23,1.65,0,0.01,-0.01,0.001
2020-09-24,1.23,0.01,0.01,-0.03,-0.002
2020-09-25,-2.75,0.01,-0.01,0.005,-0.001
2020-09-28,1.28,0.09,0.01,0,-0.001
2020-09-29,2.1,0.01,0,0.005,-0.001
2020-09-30,-1.31,0.01,-0.01,0,-0.014
2020-10-01,-2.76,0.01,0,0.005,0.012
2020-10-02,-3.12,0,-0.01,0,0.003
2020-10-05,-0.72,0,0,0.005,0
2020-10-06,2.46,0,0,0,-0.001
2020-10-07,-0.94,0,0,0,0.001
2020-10-08,-1.87,0,0,0.01,0.002
2020-10-09,-0.88,-0.01,0,0,0
